0101	344,204,154,121,36,215,284,235,331,104,119,9,121,152,249,284,215,119,122,344,212,331,314,9,103,212,152,204,235,348,103,122,314,36,154,198,249,348,104,198
0102	11,325,306,266,196,318,68,257,23,58,266,350,189,169,236,203,350,203,23,176,47,257,128,352,189,68,47,169,196,58,318,128,299,325,11,299,236,352,306,176
0103	35,29,201,343,29,44,341,136,48,185,146,32,264,263,341,44,48,264,338,109,32,35,137,201,343,112,162,263,136,7,338,162,209,7,146,112,209,185,109,137
0104	117,316,26,126,317,221,26,202,276,117,276,180,308,100,88,81,202,319,0,349,81,126,313,88,62,100,62,71,313,0,286,71,349,308,317,286,221,180,316,319
0105	273,246,86,187,96,232,96,227,339,355,213,138,335,223,330,246,335,187,67,351,116,206,129,232,355,86,278,116,129,138,330,351,339,213,227,206,278,67,273,223
0106	280,312,287,272,97,177,110,45,28,293,97,20,342,153,251,231,20,234,89,24,149,231,230,153,110,230,251,28,177,24,312,272,149,293,234,89,280,342,45,287
0107	222,175,346,192,179,195,157,200,72,291,139,156,304,346,161,17,145,222,139,156,304,79,256,291,175,192,124,17,79,161,195,101,72,179,200,256,101,157,124,145
0108	173,294,63,239,19,294,160,321,190,33,65,56,33,98,188,65,98,56,337,4,239,173,19,214,226,334,321,337,191,260,214,160,188,260,63,4,191,190,226,334
0109	336,174,168,38,133,208,84,38,127,194,84,1,194,217,240,208,174,229,262,43,2,217,127,240,229,269,336,133,333,25,262,168,25,43,333,135,269,1,2,135
0110	243,277,70,277,6,16,70,353,332,268,132,211,165,255,211,140,82,165,243,166,132,37,134,113,82,6,353,37,140,252,61,134,166,113,332,268,16,252,61,255
0111	275,30,164,91,87,30,87,155,8,91,290,327,78,115,184,159,155,143,78,197,27,270,164,92,197,92,275,285,290,285,184,8,52,270,27,327,52,115,159,143
0112	292,172,90,107,74,300,323,69,340,207,107,244,292,295,39,57,90,39,178,141,340,210,69,300,210,3,141,10,131,57,207,131,10,244,178,172,74,323,295,3
0113	106,224,31,170,219,345,5,99,261,288,219,31,309,297,233,99,309,54,303,233,288,120,77,224,170,5,54,42,303,345,49,76,42,77,49,297,261,120,76,106
0114	329,322,315,144,310,21,247,326,22,324,245,281,51,144,199,83,247,326,21,245,15,13,22,329,310,83,315,322,94,15,102,281,94,199,324,108,51,102,13,108
0115	128,284,105,331,47,328,47,66,105,95,258,167,14,128,181,150,344,258,150,181,95,60,93,331,80,186,66,328,64,14,60,80,284,259,344,93,64,259,186,167
0116	265,306,162,123,34,254,298,254,182,73,125,119,182,119,299,114,352,325,301,306,282,12,248,123,299,158,12,73,352,325,248,298,125,34,282,301,158,265,114,162
0117	112,264,209,319,296,354,242,341,307,319,257,307,341,185,85,50,212,257,185,112,50,18,137,85,100,296,137,109,228,264,75,212,209,75,109,242,100,18,354,228
0118	202,171,308,318,305,46,235,136,46,289,271,136,305,111,318,171,225,289,130,271,71,225,180,130,263,215,308,220,180,215,235,232,111,274,220,263,274,202,232,71
0119	41,0,201,126,205,44,55,205,278,246,273,320,146,59,146,278,44,273,126,201,343,176,0,59,41,355,55,320,28,176,32,169,183,343,169,32,246,28,183,355
0120	89,287,342,218,234,236,342,148,287,234,81,351,138,187,153,236,223,121,142,89,314,67,223,218,24,349,24,163,314,138,67,349,148,351,163,187,121,153,142,81
0121	116,293,104,86,157,17,222,23,316,23,253,237,316,36,40,118,17,36,253,161,86,286,152,347,118,157,40,104,347,48,222,116,124,48,161,124,237,286,293,152
0122	240,139,56,339,262,214,213,339,238,206,266,214,213,262,149,98,62,238,227,294,58,149,9,98,192,221,334,9,58,139,240,334,266,192,221,62,206,56,227,294
0123	165,203,68,272,216,68,216,1,173,63,33,313,193,321,260,127,26,302,203,173,302,174,276,338,165,335,260,26,63,174,335,338,321,193,1,272,33,127,276,313
0124	110,45,211,4,333,4,129,252,330,88,229,184,337,103,70,200,291,249,211,110,200,330,348,84,134,88,134,103,129,70,249,291,184,84,348,333,229,45,337,252
0125	346,107,241,168,217,275,159,191,217,208,30,175,2,175,11,226,256,191,269,168,275,2,107,37,160,290,226,147,290,241,208,256,269,147,37,346,30,159,160,11
0126	91,135,190,143,61,96,190,154,350,87,312,20,96,297,304,91,304,82,20,327,250,61,244,250,244,327,115,297,154,204,277,82,277,115,312,87,204,135,143,350
0127	332,295,194,155,323,31,106,72,219,101,19,309,5,219,31,336,239,69,336,141,295,194,76,155,309,141,332,239,69,97,76,106,303,101,323,72,5,19,303,97
0128	6,90,131,14,144,353,131,322,280,198,3,166,39,27,6,285,345,92,120,195,90,3,353,280,132,54,345,27,285,92,322,195,39,54,166,14,120,144,132,198
0129	95,197,21,328,281,196,326,281,317,328,151,326,233,21,43,344,233,199,122,156,43,47,151,261,317,156,47,344,189,170,197,95,292,261,292,170,189,199,196,122
0130	15,34,65,324,230,42,248,210,255,49,255,102,340,177,230,13,248,49,207,13,210,270,177,340,270,257,224,186,102,42,25,207,65,25,324,15,224,257,186,34
0131	73,100,113,137,209,258,112,117,209,100,315,113,53,341,284,46,108,112,258,231,341,18,352,117,158,243,137,315,284,231,352,46,158,243,73,53,247,108,247,18
0201	171,271,60,308,111,109,119,220,299,271,185,22,75,119,109,288,22,296,182,289,288,267,133,308,123,133,60,75,111,185,299,267,123,182,220,171,289,318,296,318
0202	273,85,232,264,66,310,77,301,52,264,307,225,300,301,223,225,77,274,342,188,300,52,145,232,274,310,85,201,66,55,145,329,201,342,273,223,307,329,188,55
0203	179,104,162,16,282,81,282,181,105,179,50,16,104,114,57,263,28,114,235,59,125,164,162,234,181,50,140,81,57,164,140,125,28,263,234,59,146,235,146,105
0204	121,48,354,215,86,331,29,118,331,238,176,121,118,93,32,7,172,163,176,24,71,163,64,172,64,24,71,213,354,124,213,215,86,238,32,124,29,93,7,48
0205	222,63,150,305,36,222,63,130,153,83,74,38,8,38,153,278,83,178,228,254,278,74,306,116,305,306,62,8,254,116,187,178,266,62,228,266,187,130,150,36
0206	161,174,98,293,157,12,319,286,245,12,193,79,161,157,98,180,272,35,174,193,246,165,10,79,293,319,206,246,165,286,35,180,142,245,10,68,272,68,206,142
0207	279,337,339,320,283,236,202,279,126,128,11,202,320,348,134,335,291,9,136,149,249,9,134,334,11,283,348,334,128,291,249,149,126,337,252,335,236,252,136,339
0208	148,107,298,154,40,216,45,17,45,26,298,191,287,4,330,70,333,221,338,4,127,333,349,316,287,349,17,191,70,154,338,221,40,330,316,127,216,26,148,107
0209	184,212,44,276,61,218,277,44,260,250,218,276,41,277,200,327,190,351,200,184,212,190,91,321,351,89,355,250,204,91,61,204,321,167,260,41,89,355,167,327
0210	175,76,323,183,175,253,251,268,350,76,253,168,5,269,214,269,115,138,192,194,168,194,115,346,268,183,303,214,346,132,103,303,251,138,192,350,103,323,5,132
0211	227,265,27,155,80,88,87,195,88,244,290,314,80,227,314,159,51,244,51,67,99,233,290,155,208,237,159,208,237,67,99,27,78,265,92,233,195,87,78,92
0212	242,325,90,0,13,242,3,0,14,23,106,14,325,328,13,160,90,328,106,294,226,19,120,19,226,259,317,241,110,3,84,259,241,110,317,84,294,120,23,160
0213	295,347,280,6,285,1,198,101,143,131,198,31,257,285,347,43,297,295,1,101,177,297,31,207,211,131,207,243,257,243,143,177,211,322,280,43,322,141,6,141
0214	203,281,344,158,345,95,96,95,170,108,302,94,344,139,240,49,281,58,96,170,94,189,156,345,139,240,156,49,189,108,30,58,30,209,302,203,158,312,209,312
0215	109,69,56,171,109,69,122,21,117,284,2,224,197,224,292,42,56,182,135,112,324,144,20,73,2,135,171,292,284,20,112,144,122,117,324,21,197,73,182,42
0216	353,342,311,145,147,169,82,77,275,77,65,342,353,255,196,75,304,169,311,151,65,147,196,309,304,309,57,151,255,188,75,111,275,111,188,145,271,82,271,57
0217	315,343,164,223,315,104,46,231,341,231,81,332,59,258,332,100,308,28,59,81,22,341,308,235,125,258,235,100,104,164,223,46,34,256,343,125,28,256,34,22
0218	232,270,176,53,261,232,47,248,179,326,220,53,7,186,24,248,97,179,47,7,270,267,137,176,15,146,220,186,137,238,97,146,118,267,15,326,238,118,261,24
0219	354,305,264,296,18,273,201,336,215,336,62,172,273,313,116,63,199,62,329,217,264,116,172,63,50,313,217,262,105,18,329,296,50,199,215,354,201,305,105,262
0220	152,9,129,72,174,310,33,180,93,180,25,152,150,9,71,352,129,266,293,25,266,352,123,83,174,71,293,162,219,93,33,310,150,72,219,123,301,83,301,162
